phenyl_isocyanate,benzylamine,cyclopentanone,cinnamaldehyde,sorbic_alcohol,maleic_anhydride,base,prediction
1,0,0,1,0,0,0,1.3118373e-05
1,0,0,0,0,1,1,0.698798
0,0,1,1,0,0,1,0.4577444
1,0,1,0,0,0,1,0.52538246
1,0,0,0,1,0,1,0.44541886
0,1,0,0,0,1,1,0.8901605
0,0,1,0,1,0,1,0.022423195
0,0,0,0,1,1,1,0.16536152
0,1,0,0,0,1,1,0.56257755
0,0,1,0,0,1,1,0.04778851
0,0,1,1,0,0,0,0.0121830115
1,0,0,0,0,1,1,0.6913708
0,1,1,0,0,0,1,0.29098657
0,0,1,0,0,1,1,0.062159806
0,1,1,0,0,0,1,0.21798004
1,0,0,1,0,0,0,0.0542618
0,0,1,0,1,0,1,0.05802351
1,0,0,0,0,1,0,0.0010799905
0,0,0,1,1,0,0,0.080435485
0,1,0,0,0,1,0,0.7912943
0,1,0,0,1,0,0,0.28080276
0,0,0,1,1,0,0,0.12989329
0,0,0,0,1,1,0,0.9351072
0,0,1,1,0,0,0,9.6505195e-05
0,0,1,1,0,0,0,0.020763788
0,1,0,0,0,1,0,0.7455765
1,0,0,0,0,1,1,0.84492105
0,1,0,0,1,0,0,0.21306016
1,0,0,0,0,1,1,0.78724396
0,0,1,0,1,0,0,0.14206111
0,0,0,0,1,1,1,0.16726363
1,1,0,0,0,0,0,0.69141513
1,0,0,0,0,1,0,0.00029736815
0,1,0,0,1,0,1,0.26537514
0,0,0,1,0,1,0,0.00018808145
0,1,0,0,0,1,1,0.90773374
0,0,1,1,0,0,1,0.50725955
0,0,1,1,0,0,1,0.3537735
1,0,1,0,0,0,0,0.005183046
1,0,1,0,0,0,1,0.53076625
0,0,1,0,0,1,0,0.0033113193
1,0,1,0,0,0,0,0.0017608947
0,0,0,1,0,1,0,0.00011106194
1,0,0,0,1,0,1,0.59144753
0,0,1,0,0,1,0,0.0017818622
0,0,0,1,0,1,0,0.00013118908
1,0,0,1,0,0,1,0.0613931
1,0,1,0,0,0,0,0.0005950317
0,0,0,1,0,1,0,0.0006338883
0,1,0,0,1,1,0,0.7069389
0,1,1,1,0,0,1,0.5360709
1,1,0,0,1,0,1,0.21598764
1,1,1,0,0,0,0,0.72832596
0,0,1,1,1,0,1,0.0067271683
1,1,0,1,0,0,1,0.72404116
0,0,0,1,1,1,0,0.4233338
1,0,0,1,0,1,0,6.613244e-05
0,0,1,0,1,1,0,0.7608363
1,0,1,0,0,1,0,0.034824476
1,0,0,1,1,0,0,0.013376194
0,1,0,0,1,1,1,0.34405535
1,0,1,1,0,0,0,6.379822e-05
1,1,1,0,0,0,0,0.6594584
1,1,1,0,0,0,0,0.5099609
0,1,0,1,0,1,0,0.68130684
1,0,0,1,0,1,0,0.025718097
1,1,0,0,1,0,1,0.7473713
1,1,1,0,0,0,1,0.27298078
1,1,0,0,0,1,1,0.8666583
0,0,1,0,1,1,1,0.006987822
1,0,0,1,1,0,0,0.008138108
1,1,0,0,1,0,1,0.32603538
0,0,1,1,0,1,1,0.08897354
0,1,1,1,0,0,0,0.5932245
1,0,0,0,1,1,1,0.6418325
0,0,1,1,0,1,1,0.13464996
1,1,0,0,1,0,1,0.30979624
1,0,1,0,1,0,0,0.5195333
1,1,1,0,0,0,1,0.36474296
0,0,1,1,0,1,1,0.051500645
0,0,0,1,1,1,1,0.010070341
1,1,0,1,0,0,0,0.58866906
1,0,0,1,0,1,1,0.3472079
1,0,1,0,1,0,1,0.24029583
0,0,1,1,1,0,1,0.175612
1,0,1,0,0,1,1,0.32693857
1,0,0,1,1,0,1,0.32873252
1,0,1,0,1,0,1,0.23214602
1,0,0,1,0,1,0,0.00034321423
0,1,0,1,1,0,0,0.31504723
1,0,1,1,0,0,0,0.00029584934
0,0,1,1,1,0,1,0.22358836
1,0,0,0,1,1,1,0.4885607
0,0,1,0,1,1,1,0.016866896
1,0,0,0,1,1,1,0.25633588
1,0,1,0,0,1,1,0.6397555
1,1,1,0,0,0,1,0.43976322
0,1,0,1,1,0,0,0.2845159
1,1,0,1,0,0,0,0.49874538
0,1,0,0,1,1,0,0.6574774
1,1,0,1,0,0,1,0.42503047
1,0,0,1,1,0,0,0.0017311637
0,0,1,1,1,0,1,0.23027518
0,0,1,0,1,1,1,0.054756846
1,0,1,0,0,1,0,0.025447274
0,0,0,1,1,1,1,0.029006772
0,0,0,1,1,1,0,0.42697588
1,0,0,1,1,0,0,0.00039436654
1,1,0,1,0,0,0,0.6096679
1,0,0,1,1,0,0,0.005134903
0,0,0,1,1,1,1,0.00791487
0,1,0,1,0,1,0,0.7816641
0,1,1,0,0,1,0,0.7618675
1,0,1,0,0,1,1,0.604465
0,1,1,1,0,0,0,0.5327676
1,0,0,1,0,1,0,0.003943256
1,1,0,1,0,0,1,0.56853527
1,0,1,1,0,0,0,0.004044513
1,1,1,0,0,0,1,0.30405477
0,1,1,1,0,0,0,0.56032306
1,0,0,1,0,1,0,0.0026117817
0,1,1,1,0,0,0,0.5515996
1,0,0,0,1,1,0,0.908252
0,0,1,1,0,1,1,0.013812969
1,1,0,0,0,1,1,0.8625901
0,1,1,1,0,0,0,0.5243157
1,0,1,0,0,1,1,0.47201738
0,1,0,1,1,0,0,0.23767722
1,0,1,0,0,1,1,0.34585136
1,1,1,0,0,0,0,0.6684547
0,0,1,1,1,0,0,0.0036716717
1,0,1,0,0,1,0,0.10300125
1,1,0,1,0,0,0,0.54336274
1,0,1,0,1,0,1,0.5597859
0,0,1,0,1,1,0,0.2883622
0,0,1,1,0,1,1,0.070278324
1,1,1,0,0,0,1,0.73992676
0,1,0,1,0,1,1,0.5164671
0,1,1,1,0,0,1,0.43886167
0,0,1,1,1,0,0,0.0037595762
1,0,1,0,0,1,1,0.61233026
0,1,0,1,1,0,1,0.31378904
0,1,1,0,1,0,1,0.24596827
1,0,1,0,1,0,0,0.49034852
0,1,0,0,1,1,0,0.52730554
0,1,0,1,0,1,0,0.82895577
1,1,0,0,0,1,0,0.6535134
1,1,0,0,1,0,1,0.33597592
1,1,0,0,1,0,1,0.38492185
1,0,1,0,0,1,1,0.27087152
1,1,1,0,0,0,0,0.37465966
0,1,0,1,1,0,0,0.4308722
1,0,1,1,0,0,1,0.45322463
0,0,0,1,1,1,1,0.33066067
0,0,0,1,1,1,0,0.6767739
1,1,0,0,0,1,1,0.21869582
0,1,0,0,1,1,0,0.41948736
1,1,1,0,0,0,0,0.5348269
0,1,1,1,0,0,0,0.6233932
1,0,1,1,0,0,1,0.43895787
0,0,1,1,0,1,1,0.06357138
0,1,1,0,1,0,0,0.23575784
0,1,1,0,0,1,1,0.32439166
1,1,0,0,1,0,0,0.50577503
0,1,0,0,1,1,1,0.2778985
0,0,1,0,1,1,1,0.16673648
0,1,0,1,0,1,0,0.809301
0,0,1,0,1,1,1,0.062110513
